section,subsection,label,value,units,notes,
"# -- client_assets.csv: Home/cash/special assets, notes, HSA, DAF, hybrid LTC, and liquidity buffers.",,,,,,
"# -- DEMO DATA: fictional household (Alex & Morgan Rivera). Every figure below is invented for demonstration.",,,,,,
Other Assets,Home,value_as_of_plan_start,"$950,000",,,
Other Assets,Home,appreciation_rate,3.00%,,,
Other Assets,Home,section_121_exclusion_mfj,"$500,000",,,
Other Assets,Home,home_sale_year,0,,,
Other Assets,Home,home_sale_price,"$1,200,000",,,
Other Assets,Home,home_basis,"$525,000",,,
Other Assets,Home,home_sale_proceeds_account,Member_2_Trust,,,
Other Assets,Startup Equity,value,"$80,000",,,
Other Assets,Startup Equity,sale_year,2032,,,
Other Assets,Startup Equity,sale_price,"$80,000",,,
Other Assets,Startup Equity,basis,"$20,000",,,
Other Assets,Cash,value,"$25,000",USD,Checking-account cash outside the investment holdings table; shown in the UI as Checking Accounts.,
Other Assets,Autos,value,"$48,000",,,
Other Assets,Autos,depreciation_per_year,10,,,
Other Assets,Autos,depreciation_years,7,,,
# -- Liquidity Buffer: year-ranged reserve rules --,,,,,,,
Liquidity Buffer,buffer_1,start_year,2030,year,First year this reserve rule applies; blank means plan start,,
Liquidity Buffer,buffer_1,end_year,2033,year,Last year this reserve rule applies; blank means open-ended,,
Liquidity Buffer,buffer_1,years_of_expenses,2,years,Years of expenses to retain as a reserve; default is 0,,
Liquidity Buffer,buffer_1,reserve_account,Taxable/Trust,choice,Taxable/Trust | Roth | IRA | HSA | Cash; account bucket intended to preserve the reserve for this row,,
Other Assets,Other Asset 1,type,Start-up Equity,choice,Auto | Boat | Start-up Equity | Art | Collectible | Other; choose the broad asset type.
Other Assets,Other Asset 1,name,Private Company Shares,text,User-described asset name.
Other Assets,Other Asset 1,value,"$80,000",dollars,Estimated value as of the as-of date.
Other Assets,Other Asset 1,as_of_date,2025-12-31,date,Date the value estimate was prepared.
Other Assets,Other Asset 1,annual_appreciation_pct,0.00%,percent,Annual appreciation (+) or depreciation (-).
Other Assets,Other Asset 1,basis,"$20,000",dollars,Purchase price or tax basis for appreciating assets.
Other Assets,Other Asset 1,sell_date,2032-12-31,date,Optional planned sale date.
Other Assets,Other Asset 2,type,Auto,choice,Auto | Boat | Start-up Equity | Art | Collectible | Other; choose the broad asset type.
Other Assets,Other Asset 2,name,2022 Toyota Highlander,text,User-described asset name.
Other Assets,Other Asset 2,value,"$36,500",dollars,Estimated value as of the as-of date.
Other Assets,Other Asset 2,as_of_date,2026-06-30,date,Date the value estimate was prepared.
Other Assets,Other Asset 2,annual_appreciation_pct,-15.00%,percent,Annual appreciation (+) or depreciation (-).
Other Assets,Other Asset 2,basis,,dollars,Purchase price or tax basis for appreciating assets.
Other Assets,Other Asset 2,sell_date,,date,Optional planned sale date.
Other Assets,Other Asset 3,type,Auto,choice,Auto | Boat | Start-up Equity | Art | Collectible | Other; choose the broad asset type.
Other Assets,Other Asset 3,name,2019 Subaru Outback,text,User-described asset name.
Other Assets,Other Asset 3,value,"$11,500",dollars,Estimated value as of the as-of date.
Other Assets,Other Asset 3,as_of_date,2026-06-30,date,Date the value estimate was prepared.
Other Assets,Other Asset 3,annual_appreciation_pct,-5.00%,percent,Annual appreciation (+) or depreciation (-).
Other Assets,Other Asset 3,basis,,dollars,Purchase price or tax basis for appreciating assets.
Other Assets,Other Asset 3,sell_date,,date,Optional planned sale date.
HSA Policy,Withdrawals,hsa_withdrawal_mode,smooth_window,choice,spend_as_needed | annual_pct | smooth_window; default spend_as_needed uses HSA only when needed before Roth. annual_pct draws the configured percentage each active year. smooth_window spreads balance across start/end years.
HSA Policy,Withdrawals,hsa_annual_spend_pct,10.00%,percent,Annual HSA draw percentage used only when hsa_withdrawal_mode is annual_pct.
HSA Policy,Withdrawals,hsa_withdrawal_start_year,2033,year,Optional first year for annual_pct or smooth_window HSA draw policy. Leave blank to avoid a scheduled draw.
HSA Policy,Withdrawals,hsa_withdrawal_end_year,2042,year,Optional last year for annual_pct or smooth_window HSA draw policy. Leave blank to avoid a scheduled draw.
Education Funding,529 Plan 1,beneficiary,,text,Beneficiary name for this 529 plan.,
Education Funding,529 Plan 1,current_balance,$0,dollars,Current 529 plan balance.,
Education Funding,529 Plan 1,annual_contribution,$0,dollars,Annual 529 contribution.,
Education Funding,529 Plan 1,contribution_start_year,,year,First contribution year.,
Education Funding,529 Plan 1,contribution_end_year,,year,Last contribution year.,
Education Funding,529 Plan 1,expected_use_year,,year,Expected first use/distribution year.,
Note Receivable,Note 1,name,Northwind Systems Note,text,User-described note name.,
Note Receivable,Note 1,face_value,"$320,000",USD,,
Note Receivable,Note 1,total_cash_flow,"$392,000",USD,over 8 annual payments,
Note Receivable,Note 1,first_payment,1/2/2027,date,,
Note Receivable,Note 1,last_payment,1/2/2034,date,balance reaches 0 after 1/2/2034,
Note Receivable,Note 1,annual_principal_base_period,"$40,000",USD,fixed annual principal years 1-7,
Note Receivable,Note 1,final_principal,"$40,000",USD,year 8,
Note Receivable,Note 1 Interest,2027,"$16,000",USD,,
Note Receivable,Note 1 Interest,2028,"$14,000",USD,,
Note Receivable,Note 1 Interest,2029,"$12,000",USD,,
Note Receivable,Note 1 Interest,2030,"$10,000",USD,,
Note Receivable,Note 1 Interest,2031,"$8,000",USD,,
Note Receivable,Note 1 Interest,2032,"$6,000",USD,,
Note Receivable,Note 1 Interest,2033,"$4,000",USD,,
Note Receivable,Note 1 Interest,2034,"$2,000",USD,final,
HSA Policy,Window,withdrawal_window,2033-2042,years,spread HSA withdrawals across years inclusive to zero balance,
HSA Policy,Spousal Rollover,inherited_by_spouse,TRUE,boolean,HSA passes to surviving spouse as their own HSA at first death,
HSA Policy,Contributions,family_annual_limit_base_year,"$8,750",USD,base-year HSA contribution limit for family/joint HDHP coverage,
HSA Policy,Contributions,self_only_annual_limit_base_year,"$4,400",USD,base-year HSA contribution limit for self-only/individual HDHP coverage,
HSA Policy,Contributions,catchup_amount,"$1,000",USD,age-55+ HSA catch-up contribution - the elderly accelerator (not indexed),
HSA Policy,Contributions,coverage_base_year_family_months,12,months,months of family/joint HDHP coverage in 2026,
HSA Policy,Contributions,coverage_base_year_self_only_months,0,months,months of self-only/individual HDHP coverage in 2026,
HSA Policy,Contributions,catchup_eligible,TRUE,boolean,TRUE if an HSA owner is age 55+ and eligible for the catch-up contribution,
HSA Policy,Contributions,contribution_last_year,2029,year,last year HSA contributions are made (eligibility ends at Medicare enrollment),
DAF,Settings,enabled,TRUE,,,
DAF,Settings,contribution_amount,"$25,000",,,
DAF,Settings,contribution_year,2027,,,
DAF,Settings,annual_grant_amount,"$5,000",,,
DAF,Settings,grant_start_year,2028,,,
DAF,Settings,grant_end_year,2032,,,
Hybrid LTC,Settings,enabled,FALSE,,,
Hybrid LTC,Settings,face_value,"$400,000",,,
Hybrid LTC,Settings,annual_premium,"$16,000",,,
Hybrid LTC,Settings,start_year,2030,,,
Hybrid LTC,Settings,insured,Member 1,,,
Positions,Member_1_IRA,CASH,1052000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_2_IRA,CASH,838000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_1_401k,CASH,57000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_1_HSA,CASH,59000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_1_Roth,CASH,244000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_2_Roth,CASH,191000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_1_Trust,CASH,296000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
Positions,Member_2_Trust,CASH,398000,dollars,Fallback only; client_holdings.csv is the source of truth for positions.,
