section,subsection,label,type,required,default,min,max,description
Household,,husband_name,text,TRUE,,,Name of husband,
Household,,husband_dob,date,TRUE,,,Date of birth M/D/YYYY,
Household,,husband_retirement_date,date,TRUE,,,Retirement date,
Household,,husband_mortality_age,integer,TRUE,92,70,120,Plan horizon age
Household,,wife_name,text,TRUE,,,Name of wife,
Household,,wife_dob,date,TRUE,,,Date of birth M/D/YYYY,
Household,,wife_retirement_date,date,FALSE,,,Retirement date,
Household,,wife_mortality_age,integer,TRUE,95,70,120,Plan horizon age
Household,,residence_state,text,TRUE,Illinois,,,"State for tax, estate analysis"
Household,,filing_status,choice,TRUE,MFJ,,,MFJ | Single | HOH | MFS
Household,,survivor_filing_status,choice,FALSE,Single,,,Filing status after first death: Single | HOH
Household,,survivor_has_dependent,boolean,FALSE,FALSE,,,Enables QSS brackets.
Plan Settings,Tax Detail,model_niit,boolean,TRUE,TRUE,,,Model 3.8% NIIT
Plan Settings,Estate,model_state_estate_tax,boolean,TRUE,TRUE,,,Model state estate tax
Economic Assumptions,,inflation_general,percent,TRUE,2.50%,0,10,CPI for spending and home
Economic Assumptions,,social_security_cola,percent,TRUE,2.00%,0,8,SS benefit COLA
Economic Assumptions,,portfolio_nominal_return,percent,TRUE,6.00%,0,15,Gross annual portfolio return
Economic Assumptions,,reinvest_dividends_default,boolean,FALSE,NO,,,Global default: reinvest every investment account's dividends/interest instead of letting them convert to cash inside the account
Economic Assumptions,,cash_yield_rate,percent,FALSE,2.00%,0,10,Growth rate applied to dividends/interest that convert to cash inside an account instead of compounding
Economic Assumptions,,fed_tax_bracket_inflator,percent,TRUE,2.00%,0,5,Annual bracket expansion
Economic Assumptions,,social_security_taxable_fraction,percent,TRUE,85.00%,0,100,SS fraction in AGI
Economic Assumptions,,annuity_default_dividend_rate,percent,FALSE,5.00%,0,20,Default dividend rate for annuities WITHOUT an explicit dividend rate of their own; has no effect on any annuity stream that already carries its own override rate
Model Constants,Retirement,rollover_401k_year,year,TRUE,2030,2026,2060,401k->IRA rollover year
Model Constants,Retirement,spending_freeze_year,year,TRUE,2040,2026,2060,Year spending stops inflating
Model Constants,Retirement,ss_claim_age,integer,TRUE,70,62,70,SS claim age (both spouses)
Model Constants,Retirement,rmd_start_age,integer,TRUE,75,72,75,SECURE 2.0 RMD start
Model Constants,IRMAA,irmaa_annual_inflator,percent,TRUE,2.00%,0,5,IRMAA inflation rate
Model Constants,Monte Carlo,mc_portfolio_sigma,percent,TRUE,12.00%,0,40,Portfolio return std dev
Model Constants,Monte Carlo,mc_simulations,integer,TRUE,300,100,10000,Number of exact scalar MC paths; raise for final advisor runs if runtime allows
Model Constants,Monte Carlo,mc_sensitivity_simulations,integer,TRUE,25,5,500,Exact scalar sims per MC sensitivity-grid cell
Model Constants,Monte Carlo,mc_engine_mode,choice,FALSE,advanced_exact_scalar,,,advanced_exact_scalar | quick_vectorized; Choose whether Monte Carlo uses the advanced/slower exact scalar engine or the simpler/quicker vectorized approximation.
Model Constants,Monte Carlo,success_liquid_floor,dollars,TRUE,0,0,,Minimum liquid assets for MC funding success
Model Constants,Monte Carlo,stochastic_tax_brackets,boolean,TRUE,TRUE,,,Stochastic bracket inflation
Model Constants,Monte Carlo,stochastic_irmaa,boolean,TRUE,TRUE,,,Stochastic IRMAA thresholds
Model Constants,Monte Carlo,wellness_cost_shocks,boolean,TRUE,TRUE,,,Poisson wellness events
Model Constants,Monte Carlo,wellness_shock_annual_prob,percent,TRUE,3.00%,0,20,Annual shock probability
Model Constants,Monte Carlo,wellness_shock_mean_cost,dollars,TRUE,150000,0,,Mean shock cost
Model Constants,Monte Carlo,mc_home_equity_contingency,boolean,FALSE,FALSE,,,Include home equity as last-resort contingency: compute a second success rate counting home equity (after haircut) as spendable if liquid assets are depleted
Model Constants,Monte Carlo,mc_home_equity_haircut,percent,FALSE,20.00%,0,50,Haircut applied to gross home equity when used as MC contingency reserve
Model Constants,Monte Carlo,mc_home_equity_access_lag_years,integer,FALSE,1,0,5,Years of delay before home equity can be accessed as contingency in MC paths
Model Constants,Asset Allocation,equity_pct,percent,TRUE,85.00%,0,100,Equity allocation
Model Constants,Asset Allocation,commodity_pct,percent,TRUE,10.00%,0,100,Commodity allocation
Model Constants,Asset Allocation,cash_pct,percent,TRUE,5.00%,0,100,Cash allocation
Model Constants,Home Sale,selling_cost_pct,percent,TRUE,6.00%,0,15,Realtor + closing costs
Model Constants,Capital Gains,ltcg_0pct_top_mfj_base_year,dollars,TRUE,96700,0,,0% LTCG bracket top
Model Constants,Capital Gains,ltcg_15pct_top_mfj_base_year,dollars,TRUE,600050,0,,15% LTCG bracket top
Model Constants,Capital Gains,niit_magi_threshold_mfj,dollars,TRUE,250000,0,,NIIT MAGI threshold
Cashflow,Earned Income,annual_earned_income,dollars,TRUE,,,Gross annual earned income,
Cashflow,Earned Income,earned_income_start_year,year,TRUE,,,First year of earned income,
Cashflow,Earned Income,earned_income_annual_increase,percent,TRUE,3.00%,0,20,Annual growth rate
Cashflow,Earned Income,entity_type,choice,TRUE,s_corp,,,s_corp | sole_prop | W2
Cashflow,S-Corp,reasonable_salary_annual,dollars,FALSE,60000,0,,W-2 salary for FICA
Cashflow,Spending,annual_spending_base_year,dollars,TRUE,,,Base annual spending,
Cashflow,Spending,core_spending_growth_mode,choice,TRUE,cpi,,,cpi | manual_override; Choose whether core spending increases with general CPI or a manual spending-specific rate.
Cashflow,Spending,core_spending_manual_growth_rate,percent,FALSE,0.00%,0,20,Annual core-spending increase used only when core_spending_growth_mode is manual_override.
Cashflow,Spending,travel_end_year,year,FALSE,,2026,2100,Optional end year for Travel group spending; blank = travel continues through plan end.
Cashflow,Mortgage,monthly_payment,dollars,FALSE,,,Fixed monthly mortgage,
Cashflow,Mortgage,balance_as_of_plan_start,dollars,FALSE,,,Outstanding balance,
Cashflow,Mortgage,interest_rate,percent,FALSE,,,Mortgage rate,
Cashflow,Mortgage,last_payment_year,year,FALSE,,,Year mortgage paid off,
Cashflow,Mortgage,annual_real_estate_taxes,dollars,FALSE,0,0,,Annual real-estate/property tax cash-flow amount; shown with Mortgage and RE Tax instead of core spending.
Cashflow,Mortgage,real_estate_tax_annual_adjustment_pct,percent,FALSE,2.50%,0,20,Annual percentage adjustment applied to real-estate/property taxes in the cash-flow forecast.
Social Security,Member 1,ss_benefit_age_62,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 62, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_63,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 63, from the SSA statement/estimator, in today dollars.
Social Security,Member 1,ss_benefit_age_64,dollars,FALSE,0,0,,Monthly Social Security benefit if claimed at age 64, from the SSA statement/estimator, in today dollars.
