section,subsection,label,value,units,notes,
"# -- client_business.csv: Business succession planning — entity valuation, buy-sell funding, and key-person coverage.",,,,,,
Business Succession,Policy,valuation_growth_default,5.00%,pct,default annual growth applied when an entity omits its own rate,
Business Succession,Acme_Holdings,entity_name,Acme Holdings LLC,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Business Succession,Acme_Holdings,owner,Member 1,,,
Business Succession,Acme_Holdings,ownership_pct,60%,pct,departing owner's ownership share,
Business Succession,Acme_Holdings,valuation_today,"$4,000,000",USD,current fair market value of the business,
Business Succession,Acme_Holdings,valuation_growth_rate,6.00%,pct,,
Business Succession,Acme_Holdings,buy_sell_type,cross-purchase,,cross-purchase | entity-redemption | wait-and-see,
Business Succession,Acme_Holdings,funding_vehicle,life insurance,,life insurance | installment note | sinking fund | unfunded,
Business Succession,Acme_Holdings,funding_amount,"$1,500,000",USD,current funding set aside/insured for the buy-sell,
Business Succession,Acme_Holdings,key_person_coverage,"$1,000,000",USD,key-person life insurance on the owner,
Business Succession,Acme_Holdings,successor,Member 2,,intended successor / buyer,
Business Succession,Acme_Holdings,transfer_year,2035,year,planned ownership-transfer year,
