section,subsection,label,value,units,notes,
"# -- client_business.csv: Business succession planning — entity valuation, buy-sell funding, and key-person coverage.",,,,,,
Business Succession,Policy,valuation_growth_default,,pct,default annual growth applied when an entity omits its own rate,
Business Succession,Acme_Holdings,entity_name,,,sample/demo reporting module; not cash-flow-driving unless specifically enabled,
Business Succession,Acme_Holdings,owner,,,,
Business Succession,Acme_Holdings,ownership_pct,,pct,departing owner's ownership share,
Business Succession,Acme_Holdings,valuation_today,,USD,current fair market value of the business,
Business Succession,Acme_Holdings,valuation_growth_rate,,pct,,
Business Succession,Acme_Holdings,buy_sell_type,,,cross-purchase | entity-redemption | wait-and-see,
Business Succession,Acme_Holdings,funding_vehicle,,,life insurance | installment note | sinking fund | unfunded,
Business Succession,Acme_Holdings,funding_amount,,USD,current funding set aside/insured for the buy-sell,
Business Succession,Acme_Holdings,key_person_coverage,,USD,key-person life insurance on the owner,
Business Succession,Acme_Holdings,successor,,,intended successor / buyer,
Business Succession,Acme_Holdings,transfer_year,,year,planned ownership-transfer year,
