section,subsection,label,value,units,notes,
"# -- client_income.csv: Work income, self-employment, retirement contributions, and pension/annuity income streams.",,,,,,
"# -- DEMO DATA: fictional household (Alex & Morgan Rivera). Every figure below is invented for demonstration.",,,,,,
Cashflow,Earned Income,annual_earned_income,"$265,000",,Gross in earn_start_year,
Cashflow,Earned Income,earned_income_start_year,2026,,,
Cashflow,Earned Income,earned_income_last_year,2029,,Base; extend via Scenarios > Retire Later,
Cashflow,Earned Income,earned_income_annual_increase,3.00%,,Growth rate for base years,
Cashflow,Earned Income,entity_type,s_corp,,s_corp | sole_prop | W2,
Cashflow,Earned Income,ytd_remainder_earned_income_override,,money,Optional: override the projected remainder-of-year earned income (after actual YTD earned income) instead of a linear pro-rated estimate. Leave blank to use the linear estimate.,
Cashflow,Self-Employment,business_expenses_annual,"$18,000",,Schedule C ordinary deductions,
Cashflow,Self-Employment,home_office_expenses_annual,"$3,600",,Form 8829,
Cashflow,Self-Employment,health_insurance_premiums_annual,"$12,000",,SEHI above-the-line deduction,
Cashflow,Self-Employment,qbi_eligible,TRUE,,S.199A 20% QBI deduction,
Cashflow,S-Corp,reasonable_salary_annual,"$85,000",,W-2 salary; FICA on this only,
Cashflow,S-Corp,sehi_added_to_w2,TRUE,,SEHI via W-2 box 1,
Cashflow,S-Corp,state_corporate_surcharge_rate,1.50%,,IL surcharge on distributable income,
Cashflow,S-Corp,qbi_phaseout_applies,FALSE,,True if income near S.199A phaseout,
Cashflow,Retirement Contributions,monthly_401k_contribution,"$2,500",,Pre-tax; Member 1 only during earned years,
Cashflow,Retirement Contributions,annual_401k_limit_base_year,"$31,000",,Includes age-50+ catch-up,
Social Security,Funding Discount,ss_funding_discount_year,2032,year,First year Social Security gross benefits are reduced for trust-fund underfunding stress. Default 2032.,
Social Security,Funding Discount,ss_funding_discount_pct,22.00%,percent,Percentage reduction to gross Social Security benefits from the funding-discount year onward. Default 22%.,
Income Streams,Member 2 Pension,first_payment,1/1/2030,date,Employer pension; treated as a Single annuity terminating at Member 2's death,
Income Streams,Member 2 Pension,dividend_rate,5.00%,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 2 Pension,additional_income_pct,20.00%,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 2 Pension,deferral_years,0,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x 0.55 (deferral_dampening) per year.,
Income Streams,Member 2 Pension,qualified,TRUE,,Employer pension plan. Qualified (IRA-sourced) annuities are fully taxable each year; non-qualified annuities use exclusion_ratio to exclude a basis-recovery portion.,
