Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-01-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-01-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-01-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-01-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-01-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-01-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-01-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-01-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-01-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-01-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-02-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-02-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-02-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-02-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-02-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-02-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-02-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
2026-02-23,Daily Grind Coffee,Coffee Shops,Everyday Rewards Visa (...4410),DAILY GRIND COFFEE,,-4,,Shared
2026-02-26,Sparkle Home Cleaning,House Cleaning,Family Checking,SPARKLE HOME CLEANING,,-147,,Shared
2026-02-02,Lakeside Community Fund,Charity,Family Checking,LAKESIDE COMMUNITY FUND,,-71,,Shared
2026-03-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-03-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-03-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-03-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-03-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-03-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-03-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-03-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-03-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-03-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-04-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-04-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-04-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-04-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-04-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-04-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-04-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
2026-04-23,Daily Grind Coffee,Coffee Shops,Everyday Rewards Visa (...4410),DAILY GRIND COFFEE,,-4,,Shared
2026-04-26,Sparkle Home Cleaning,House Cleaning,Family Checking,SPARKLE HOME CLEANING,,-147,,Shared
2026-04-02,Lakeside Community Fund,Charity,Family Checking,LAKESIDE COMMUNITY FUND,,-71,,Shared
2026-05-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-05-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-05-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-05-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-05-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-05-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-05-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-05-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-05-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-05-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-06-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-06-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-06-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-06-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-06-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-06-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-06-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
2026-06-23,Daily Grind Coffee,Coffee Shops,Everyday Rewards Visa (...4410),DAILY GRIND COFFEE,,-4,,Shared
2026-06-26,Sparkle Home Cleaning,House Cleaning,Family Checking,SPARKLE HOME CLEANING,,-147,,Shared
2026-06-02,Lakeside Community Fund,Charity,Family Checking,LAKESIDE COMMUNITY FUND,,-71,,Shared
2026-01-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-01-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-01-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-01-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-01-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-01-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-01-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-01-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-01-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-01-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-02-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-02-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-02-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-02-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-02-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-02-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-02-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
2026-02-23,Daily Grind Coffee,Coffee Shops,Everyday Rewards Visa (...4410),DAILY GRIND COFFEE,,-4,,Shared
2026-02-26,Sparkle Home Cleaning,House Cleaning,Family Checking,SPARKLE HOME CLEANING,,-147,,Shared
2026-02-02,Lakeside Community Fund,Charity,Family Checking,LAKESIDE COMMUNITY FUND,,-71,,Shared
2026-03-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-03-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-03-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-03-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-03-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-03-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-03-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-03-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-03-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-03-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-04-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-04-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-04-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-04-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-04-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-04-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-04-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
2026-04-23,Daily Grind Coffee,Coffee Shops,Everyday Rewards Visa (...4410),DAILY GRIND COFFEE,,-4,,Shared
2026-04-26,Sparkle Home Cleaning,House Cleaning,Family Checking,SPARKLE HOME CLEANING,,-147,,Shared
2026-04-02,Lakeside Community Fund,Charity,Family Checking,LAKESIDE COMMUNITY FUND,,-71,,Shared
2026-05-02,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-140,,Shared
2026-05-05,Meadow Market,Groceries,Family Checking,MEADOW MARKET,,-94,,Shared
2026-05-08,Bluebird Bistro,Restaurants & Bars,Everyday Rewards Visa (...4410),BLUEBIRD BISTRO,,-60,,Shared
2026-05-11,Corner Noodle House,Restaurants & Bars,Everyday Rewards Visa (...4410),CORNER NOODLE HOUSE,,-35,,Shared
2026-05-14,QuickBite Drive-Thru,Fast Food,Everyday Rewards Visa (...4410),QUICKBITE DRIVE-THRU,,-10,,Shared
2026-05-17,Lakeside Utility Co,Gas & Electric,Family Checking,LAKESIDE UTILITY CO,,-210,,Shared
2026-05-20,Municipal Water Dept,Water,Family Checking,MUNICIPAL WATER DEPT,,-59,,Shared
2026-05-23,NetLink Broadband,Internet & Cable,Family Checking,NETLINK BROADBAND,,-93,,Shared
2026-05-26,Signal Mobile,Phone,Everyday Rewards Visa (...4410),SIGNAL MOBILE,,-137,,Shared
2026-05-02,Roadside Fuel Stop,Auto Fuel,Everyday Rewards Visa (...4410),ROADSIDE FUEL STOP,,-51,,Shared
2026-06-02,Precision Auto Care,Auto Maintenance,Family Checking,PRECISION AUTO CARE,,-180,,Shared
2026-06-05,Northfield Apparel,Clothing & Jewelry,Signature Travel Card (...2209),NORTHFIELD APPAREL,,-119,,Shared
2026-06-08,Corner Pharmacy,Drugs - Rx and OTC,Everyday Rewards Visa (...4410),CORNER PHARMACY,,-43,,Shared
2026-06-11,Cedar Cinema,Entertainment & Recreation,Everyday Rewards Visa (...4410),CEDAR CINEMA,,-29,,Shared
2026-06-14,Handy Home Services,Home Maintenance,Family Checking,HANDY HOME SERVICES,,-216,,Shared
2026-06-17,Maple & Co Home,Furniture/Home Decor/Kitchenware,Signature Travel Card (...2209),MAPLE AND CO HOME,,-310,,Shared
2026-06-20,ATM Withdrawal,Cash & ATM,Family Checking,ATM WITHDRAWAL,,-99,,Shared
