section,subsection,label,value,units,notes,
"# -- client_income.csv: Work income, self-employment, retirement contributions, and pension/annuity income streams.",,,,,,
Cashflow,Earned Income,annual_earned_income,,,Gross in earn_start_year,
Cashflow,Earned Income,earned_income_start_year,,,,
Cashflow,Earned Income,earned_income_last_year,,,Base; extend via Scenarios > Retire Later,
Cashflow,Earned Income,earned_income_annual_increase,,,Growth rate for base years,
Cashflow,Earned Income,entity_type,,,s_corp | sole_prop | W2,
Cashflow,Earned Income,ytd_remainder_earned_income_override,,money,Optional: override the projected remainder-of-year earned income (after actual YTD earned income) instead of a linear pro-rated estimate. Leave blank to use the linear estimate.,
Cashflow,Self-Employment,business_expenses_annual,,,Schedule C ordinary deductions,
Cashflow,Self-Employment,home_office_expenses_annual,,,Form 8829,
Cashflow,Self-Employment,health_insurance_premiums_annual,,,SEHI above-the-line deduction,
Cashflow,Self-Employment,qbi_eligible,,,S.199A 20% QBI deduction,
Cashflow,S-Corp,reasonable_salary_annual,,,W-2 salary; FICA on this only,
Cashflow,S-Corp,sehi_added_to_w2,,,SEHI via W-2 box 1,
Cashflow,S-Corp,state_corporate_surcharge_rate,,,IL surcharge on distributable income,
Cashflow,S-Corp,qbi_phaseout_applies,,,True if income near S.199A phaseout,
Cashflow,Retirement Contributions,monthly_401k_contribution,,,Pre-tax; Member 1 only during earned years,
Cashflow,Retirement Contributions,annual_401k_limit_base_year,,,Includes age-50+ catch-up,
Social Security,Funding Discount,ss_funding_discount_year,,year,First year Social Security gross benefits are reduced for trust-fund underfunding stress. Default 2032.,
Social Security,Funding Discount,ss_funding_discount_pct,,percent,Percentage reduction to gross Social Security benefits from the funding-discount year onward. Default 22%.,
Income Streams,Member 2 Pension,first_payment,,date,Employer pension; treated as a Single annuity terminating at Member 2's death,
Income Streams,Member 2 Pension,dividend_rate,,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 2 Pension,additional_income_pct,,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 2 Pension,deferral_years,,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x 0.55 (deferral_dampening) per year.,
Income Streams,Member 2 Pension,qualified,,,Employer pension plan. Qualified (IRA-sourced) annuities are fully taxable each year; non-qualified annuities use exclusion_ratio to exclude a basis-recovery portion.,
Income Streams,Member 2 Pension,initial_guaranteed_income_payment,,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 2 Pension,pay_in_cash_pct,,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 2 Pension,credit_rating,,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 2 Pension,cumulative_at_death,,USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 2 Pension,payout_type,,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 2 Single Annuity,first_payment,,date,non-qualified; terminates at Member 2's death,
Income Streams,Member 2 Single Annuity,base,,USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
Income Streams,Member 2 Single Annuity,dividend_rate,,pct,"Annual rate credited on the account base. Each year's dividend splits into two pieces: the additional_income_pct share compounds the guaranteed payment for life, and the rest (1 - additional_income_pct) pays out as cash on top of the guaranteed payment until Recovery Age.",
Income Streams,Member 2 Single Annuity,additional_income_pct,,pct,Share of each year's dividend that is reinvested to permanently raise the guaranteed payment (compounds every future year). The remaining share pays out as cash income until Recovery Age. Applies from the first-distribution year (= first_payment year); before that year the dividend is 100% reinvested.,
Income Streams,Member 2 Single Annuity,deferral_years,,,Contract years before first_payment where 100% of the dividend is reinvested (no income paid yet). During this period the guaranteed payment grows by dividend_rate x deferral_dampening per year.,
Income Streams,Member 2 Single Annuity,reserve_factor,,,Fraction of base that anchors the starting actuarial reserve (reserve_start = base x reserve_factor). The reserve then decays/grows on a fixed calibration curve over the payout years and drives both the compounding guaranteed payment and the cash dividend.,
Income Streams,Member 2 Single Annuity,deferral_dampening,,,Dampens guaranteed-payment growth during the deferral period (growth rate = dividend_rate x deferral_dampening per deferral year). Lower values mean slower guaranteed-payment growth before income starts.,
Income Streams,Member 2 Single Annuity,qualified,,,Personal market. Qualified (IRA-sourced) annuities are fully taxable each year; non-qualified annuities use exclusion_ratio to exclude a basis-recovery portion.,
Income Streams,Member 2 Single Annuity,exclusion_ratio,,,Taxable fraction of each non-qualified payment (the rest is treated as tax-free return of basis/principal). Only applies when qualified = FALSE.,
Income Streams,Member 2 Single Annuity,initial_guaranteed_income_payment,,USD,Guaranteed monthly payment in the first-distribution year; grows over time as reinvested dividends (additional_income_pct) compound it.,
Income Streams,Member 2 Single Annuity,pay_in_cash_pct,,pct,Share of each year's dividend paid out as cash rather than reinvested into the guaranteed payment.,
Income Streams,Member 2 Single Annuity,credit_rating,,,Demo carrier credit rating shown on the insurance/annuity reporting sheets.,
Income Streams,Member 2 Single Annuity,cumulative_at_death,,USD,Demo figure: cumulative benefit value used by the death-benefit reporting sheets.,
Income Streams,Member 2 Single Annuity,payout_type,,choice,Fixed | Variable | COLA — Monte Carlo behavior only (no effect on the deterministic base plan): Fixed: payment unchanged; Variable: scaled by sampled portfolio return vs expected; COLA: scaled by sampled inflation vs expected.,
Income Streams,Member 2 Joint Annuity,first_payment,,date,qualified - RMD applies; continues to surviving spouse at js_pct,
Income Streams,Member 2 Joint Annuity,base,,USD,"Starting account-value base. dividend_rate is credited on the actuarial reserve derived from this base each year (reserve_factor anchors the starting reserve), and the reinvested share (additional_income_pct) compounds the guaranteed payment.",
