tracking_type,group,category_id,label,origin,status,notes
Income,Income,dividends_capital_gains,Dividends & Capital Gains,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Income,Income,interest,Interest,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Income,Income,other_income,Other Income,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Income,Income,paychecks,Paychecks,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Income,Income,redmane_annual_note_p_i,RedMane Annual Note P&I,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Income,Investment Income,capital_gains,Capital Gains,template,deleted,Realized short- and long-term capital gains
Income,Investment Income,dividends,Dividends,template,deleted,Stock and fund dividend payments
Income,Investment Income,interest_income,Interest Income,template,deleted,Bank and bond interest
Income,Other Income,gifts_received,Gifts Received,template,deleted,Personal gifts and inheritances received
Income,Other Income,legal_settlement,Legal Settlement,template,deleted,Court settlements and insurance proceeds
Income,Other Income,miscellaneous_income,Miscellaneous Income,template,deleted,Other income not in another group
Income,Rental / Passive,partnership_income,Partnership / LP Income,template,deleted,Limited partnership and pass-through income
Income,Rental / Passive,rental_income,Rental Income,template,deleted,Residential and commercial rental receipts
Income,Rental / Passive,royalties,Royalties,template,deleted,Intellectual property and mineral royalties
Income,Retirement Income,annuity_income,Annuity Income,template,deleted,Annuity contract payments
Income,Retirement Income,ira_401k_withdrawals,IRA / 401k Withdrawals,template,deleted,Retirement account distributions
Income,Retirement Income,pension_payments,Pension Payments,template,deleted,Defined-benefit pension receipts
Income,Self-Employment / Business,consulting_freelance,Consulting / Freelance,template,deleted,Consulting fees and freelance project income
Income,Self-Employment / Business,owner_distributions,Owner Distributions,template,deleted,S-Corp or LLC owner distributions
Income,Self-Employment / Business,selfemployed_income,Self-Employment Income,template,deleted,Schedule C / K-1 business income
Income,Social Security / Government,disability_income,Disability Income,template,deleted,SSDI and long-term disability
Income,Social Security / Government,government_pension,Government Pension,template,deleted,Federal / state / local government pension
Income,Social Security / Government,social_security,Social Security,template,deleted,SS benefits — husband and wife
Income,W-2 / Employment,bonus_commission,Bonus / Commission,template,deleted,Performance bonuses and sales commissions
Income,W-2 / Employment,severance,Severance,template,deleted,Severance and separation payments
Income,W-2 / Employment,stock_comp,Stock Compensation,template,deleted,RSU vesting and ESPP proceeds
Income,W-2 / Employment,wages_salary,Wages / Salary,template,deleted,Regular employment wages and salary
Core Expenses,Auto & Transport,auto_fuel,Auto Fuel,transaction,active,Auto-added from transactions
Core Expenses,Auto & Transport,auto_insurance,Auto Insurance,template,active,Car insurance premiums
Core Expenses,Auto & Transport,auto_licenses_fees,Auto Licenses & Fees,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Auto & Transport,auto_maintenance,Auto Maintenance,transaction,active,Auto-added from transactions
Core Expenses,Auto & Transport,auto_payment,Auto Payment,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Auto & Transport,auto_registration,Auto Registration / Fees,template,deleted,DMV registration and annual fees
Core Expenses,Auto & Transport,auto_repair,Auto Repair / Maintenance,template,deleted,Mechanic repairs and routine maintenance
Core Expenses,Auto & Transport,car_wash,Car Wash,transaction,active,Auto-added from transactions
Core Expenses,Auto & Transport,gas_fuel,Gas / Fuel,template,deleted,Gasoline and diesel for personal vehicles
Core Expenses,Auto & Transport,parking_tolls,Parking / Tolls,template,active,Parking lots and highway tolls
Core Expenses,Auto & Transport,public_transit,Public Transit,template,active,Bus / train / subway fares
Core Expenses,Auto & Transport,rideshare,Rideshare / Taxi,template,deleted,Uber / Lyft / taxi fares
Core Expenses,Auto & Transport,taxi_ride_shares,Taxi & Ride Shares,transaction,active,Auto-added from transactions
Core Expenses,Children,child_activities,Child Activities,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Children,child_care,Child Care,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Clothing / Jewelry,accessories,Accessories,template,deleted,Handbags
Core Expenses,Clothing / Jewelry,apparel,Apparel / Shoes,template,deleted,Clothing and footwear purchases
Core Expenses,Clothing / Jewelry,dry_cleaning,Dry Cleaning / Tailoring,template,deleted,Dry cleaning and alteration services
Core Expenses,Clothing / Jewelry,jewelry,Jewelry,template,deleted,Jewelry and watches
Core Expenses,Education,education,Education,transaction,deleted,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Entertainment,concerts_events,Concerts / Events,template,deleted,Live music
Core Expenses,Entertainment,hobbies,Hobby Supplies,template,deleted,Craft
Core Expenses,Entertainment,movies,Movies,template,deleted,Cinema and movie rentals
Core Expenses,Entertainment,sporting_events,Sporting Events,template,deleted,Sports tickets and stadium costs
Core Expenses,Entertainment,streaming_subscriptions,Streaming / Subscriptions,template,deleted,Netflix / Spotify / Disney+ and similar
Core Expenses,Financial,cash_atm,Cash & ATM,transaction,active,Auto-added from transactions
Core Expenses,Financial,disability_insurance,Disability Insurance,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Financial,financial_legal_services,Financial & Legal Services,transaction,active,Auto-added from transactions
Core Expenses,Financial,financial_fees,Financial Fees,transaction,active,Auto-added from transactions
Core Expenses,Financial,insurance,Insurance,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Financial,licenses,Licenses,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Financial,loan_repayment,Loan Repayment,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Food & Dining,coffee_shops,Coffee Shops,template,active,Coffee and tea purchases
Core Expenses,Food & Dining,fast_food,Fast Food / Takeout,template,active,Fast food and takeout orders
Core Expenses,Food & Dining,groceries,Groceries,template,active,Supermarkets and grocery delivery
Core Expenses,Food & Dining,meal_delivery,Meal Delivery,template,deleted,DoorDash / Uber Eats / Instacart food
Core Expenses,Food & Dining,restaurants,Restaurants,template,deleted,Sit-down and casual dining out
Core Expenses,Food & Dining,restaurants_bars,Restaurants & Bars,transaction,active,Auto-added from transactions
Core Expenses,Gifts Charity,charitable_donations,Charitable Donations,template,active,Cash donations and tithing
Core Expenses,Gifts Charity,charity,Charity,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Gifts Charity,church,Church,transaction,active,Auto-added from transactions
Core Expenses,Gifts Charity,donation,Donation,transaction,active,Auto-added from transactions
Core Expenses,Gifts Charity,gifts_family_12,Gifts - Family 12,transaction,active,Auto-added from transactions
Core Expenses,Gifts Charity,gifts_other,Gifts - Other,transaction,active,Auto-added from transactions
Core Expenses,Gifts Charity,gifts_given,Gifts Given,template,deleted,Birthday / holiday / occasion gifts
Core Expenses,Gifts Charity,political_contributions,Political Contributions,template,deleted,Campaign and PAC contributions
Core Expenses,Lifestyle,books,Books,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Lifestyle,cubs_tickets,Cubs Tickets,transaction,active,Auto-added from transactions
Core Expenses,Lifestyle,electronics,Electronics,template,active,Moved from Large Discretionary Major Purchases to Lifestyle on Spending Categories page (CR117)
Core Expenses,Lifestyle,hair_make_up,Hair/Make-up,transaction,active,Auto-added from transactions
Core Expenses,Lifestyle,mani_pedi,Mani-Pedi,transaction,active,Auto-added from transactions
Core Expenses,Lifestyle,movie_theater,Movie Theater,transaction,active,Auto-added from transactions
Core Expenses,Lifestyle,personal,Personal,transaction,active,Auto-added from transactions
Core Expenses,Lifestyle,personal_care,Personal Care,template,deleted,Hair salon
Core Expenses,Lifestyle,subscriptions,Subscriptions,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Other,check,Check,transaction,active,Auto-added from transactions
Core Expenses,Other,miscellaneous,Miscellaneous,transaction,active,Auto-added from transactions
Core Expenses,Other,miscellaneous_expense,Miscellaneous Expense,template,deleted,Catch-all for uncategorized spending
Core Expenses,Other,other_personal,Other Personal,template,deleted,Personal expenses not in another group
Core Expenses,Other,pets,Pets,template,active,Pet food
Core Expenses,Other,subscriptions_memberships,Subscriptions / Memberships,template,deleted,Magazines
Core Expenses,Other,uncategorized,Uncategorized,transaction,active,Auto-added from transactions
Core Expenses,Shopping,clothing_jewelry,Clothing & Jewelry,transaction,active,Auto-added from transactions
Core Expenses,Shopping,furniture_housewares,Furniture & Housewares,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Core Expenses,Shopping,shopping,Shopping,transaction,active,Auto-added from transactions
Wellness,Healthcare Premium,aca_marketplace_premium,ACA Marketplace Premium,template,deleted,ACA / individual market plan premiums
Wellness,Medical Cap Reference,annual_oop_max,Annual Household Medical OOP Cap,custom,active,Cap/reference for non-premium medical spending; not a standalone expense budget.
Wellness,Healthcare Premium,pre65_wellness_premium,Pre-65 Healthcare Premium,custom,active,Authoritative pre-65 healthcare premium category; same concept previously shown under the generic healthcare premium category.
Wellness,Healthcare Premium,cobra_premium,COBRA Premium,template,deleted,COBRA continuation coverage
Wellness,Wellness Budget Detail,dental_cleanings,Dental Cleanings / Exams,template,deleted,Routine dental checkups and cleanings
Wellness,Wellness Budget Detail,dental_procedures,Dental Procedures,template,deleted,Fillings
Wellness,Wellness Budget Detail,dentist,Dentist,transaction,active,Promoted from legacy spending_category_map.csv during unified spending migration
Wellness,Wellness Budget Detail,dermatologist,Dermatologist,transaction,active,Auto-added from transactions; CR104: moved wellness category out of Core Expenses.
