section,subsection,label,value,units,notes
System Configuration,Runtime,system_version,10,version,Current package/version identifier; populated from src/version.py.
System Configuration,Runtime,app_mode,LOCAL,choice,Local desktop mode only; public-hosting and client-registry modes have been removed.
System Configuration,Runtime,config_backend,SQLITE,choice,SQLITE is the v10 runtime source of truth; CSV/JSON/YAML remain import-export adapters.
System Configuration,Runtime,config_file,input/client_data.csv,path,Active Plan Data CSV for the local browser session.
System Configuration,Runtime,json_config_file,input/client_data.json,path,Optional JSON backend file.
System Configuration,Runtime,yaml_config_file,input/client_data.yaml,path,Optional YAML backend file.
System Configuration,Runtime,output_dir,output,path,"Local output folder for generated workbook, PDF, and diagnostics."
System Configuration,Runtime,local_plan_data_dir,,path,Optional local Plan Data source folder for command-line builds. UI-selected folders are posted by the browser per build.
System Configuration,Dashboard,enabled,YES,yes/no,Enable web dashboard routes in src/server/.
System Configuration,Dashboard,host,127.0.0.1,text,Local desktop host. Public/LAN binding has been removed from this package.
System Configuration,Dashboard,port,5050,integer,Dashboard port. Open this TCP port in the local OS firewall.
System Configuration,Security,encryption_enabled,NO,yes/no,YES encrypts API keys in SQLite/secret store. Requires cryptography package for strong encryption.
System Configuration,Security,secrets_store,local_state/secrets.db,path,Local encrypted/obfuscated API key storage for optional Plan Chat and pricing keys.
# -- Build queue / jobs --------------------------------------,,,,,The default UI runs builds immediately. Enable queue only when using a worker.
# -- Price refresh / portfolio drift -------------------------,,,,,Shared operational settings used by tools and APIs.
System Configuration,Price Refresh,nightly_enabled,NO,yes/no,YES enables scheduled/manual nightly price refresh tool.
System Configuration,Price Refresh,nightly_time,2:00,HH:MM,Preferred local refresh time for scheduler/cron.
System Configuration,Price Refresh,snapshot_retention_days,365,days,Historical price snapshot retention.
System Configuration,Portfolio Drift,target_allocation_file,target_allocation.csv,path,Optional target allocation file. Local input folder is searched first.
System Configuration,Portfolio Drift,security_master_file,security_master.csv,path,Ticker-to-asset-class map. Local input folder is searched first.
System Configuration,Portfolio Drift,rebalance_threshold_pct,5.00%,pct,Report assets outside target allocation by this absolute threshold.
Market Pricing,Holdings,pricing_mode,CACHE,choice,CACHE = use any cache first, even stale; LIVE = prefer live providers before cache/fallback; OFFLINE = no live calls. Cost basis is used only when no cache exists.
Market Pricing,Holdings,cache_hours,24,hours,Fresh cache window for holdings prices.
Market Pricing,API,fmp_api_key,,secret,Secret value intentionally blank in secure release package; configure via secret store or environment.
Market Pricing,API,alpha_vantage_api_key,,secret,Secret value intentionally blank in secure release package; configure via secret store or environment.
Plan Settings,Annuity Valuation,net_worth_method,pv_through_mortality_age,choice,pv_through_mortality_age OR cumulative_at_death
Plan Settings,Tax Detail,model_niit,TRUE,boolean,Apply 3.8% Net Investment Income Tax above MAGI threshold
Plan Settings,Estate,model_state_estate_tax,TRUE,boolean,Model residence-state estate tax in addition to federal
,,,,,
Asset Class Assumptions,Global,capital_market_assumption_mode,PRESET,choice,PRESET uses built-in horizon/preset assumptions; CUSTOM_FILE reads capital_market_assumptions.csv. Advanced users only.
Asset Class Assumptions,Global,capital_market_assumption_horizon_years,30,years,"Planning horizon for allocation optimizer assumptions. Supported: 1, 3, 5, 10, 20, 25, 30. 30 is the long-term baseline."
Asset Class Assumptions,Global,capital_market_assumption_preset,BASELINE,choice,"CONSERVATIVE, BASELINE, or AGGRESSIVE. This shifts return/volatility assumptions before per-asset overrides."
Asset Class Assumptions,Global,use_custom_capital_market_file,NO,yes/no,YES reads expert assumptions from custom_capital_market_file. Keep NO unless using a reviewed capital-market assumptions CSV.
